gene_id	SYMBOL	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUSG00000000001	Gnai3	13.384951056806889	13.241010795356976	13.217344076258758	13.040748010668235	13.114491442046804	12.993543337788106	13.252283785079149	13.237886620464595	12.854503190656427	13.18977136097998	12.863160211784454	12.975000807723527	12.86667106455267	13.123832531697932	13.151969400125079
ENSMUSG00000000003	Pbsn	5.69523342089743	5.69523342089743	5.69523342089743	5.69523342089743	5.69523342089743	5.69523342089743	5.69523342089743	5.69523342089743	5.69523342089743	5.69523342089743	5.69523342089743	5.69523342089743	5.69523342089743	5.69523342089743	5.69523342089743
ENSMUSG00000000028	Cdc45	9.415037362103767	9.288185624766395	9.418759702875446	9.219952466151346	9.259416830124618	8.772212906700355	9.368455978226168	9.143392713697859	8.653399747578964	9.070049626644508	8.923413629546253	9.03527048741009	8.81909575986111	9.155520840501172	9.196437122401159
ENSMUSG00000000031	H19	10.790151846288964	10.676178284738716	12.546889986682212	8.143246917736947	11.100027836397082	9.97531609654962	11.707755287514397	11.483720029805644	7.404569964942332	8.326917510963334	10.420096159496582	10.803617079698801	8.080539185638465	10.249899006360351	11.124934264173582
ENSMUSG00000000037	Scml2	7.088239939108467	6.803586978350855	6.952668112741979	7.19657039592731	6.930284256125385	6.9189058068474605	6.943475825215498	7.16930574644866	7.131814114535304	6.785738832782465	7.321136173368055	7.086757066884416	7.184351491699083	7.028370080934682	6.894374292571786
ENSMUSG00000000049	Apoh	6.095483106761219	6.168256101698465	5.984902260247598	6.293017132837896	5.904348486944116	6.109444538292084	5.95768997220028	6.329170369518603	6.040818820759919	6.200565456913156	6.10151579550057	6.190895623311382	6.015575481920266	6.017115400300461	6.099631263352208
ENSMUSG00000000056	Narf	11.145142874358633	11.137307356710833	11.218396846737162	10.924783838281126	10.913479121805999	11.14729256380935	11.089235645383441	11.066593765551293	11.394242522095146	11.019628700953298	10.890827660434965	11.12035095975391	11.166259673724484	10.858961139270034	10.898076787135311
ENSMUSG00000000058	Cav2	10.186017332406296	10.666223568468707	9.998804740698827	10.15810398274226	9.614584999180975	9.977785859601903	9.716879199909345	9.63221882238843	10.189552033464471	10.51498408969108	9.82754389173174	9.80242968934251	10.066087381600548	10.133628388677394	10.001480148675874
ENSMUSG00000000078	Klf6	13.270508202817439	13.8528207453257	13.439636959237475	13.516509596038077	13.441218031032237	13.370937767842108	13.08706815576541	13.47533001010828	13.23611108556993	13.570340775939924	12.803472291218593	12.839498398463945	13.541952383257607	13.485738431377241	13.203174402385187
ENSMUSG00000000085	Scmh1	10.04620147687463	10.334704199432867	10.365500261644643	10.378864932834304	10.116215390024953	10.160582346935708	10.277849804471913	10.29386596730145	10.294122723047355	10.027948749687404	10.672786989148165	10.544243179527271	10.112055758515028	10.21987139753617	10.337620429019333
