task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
390	46/57ba32	16884971	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (KI_4)	COMPLETED	0	2022-03-13 16:18:41.616	22m 4s	6m 35s	8.6%	95.4 MB	125.2 MB	2.1 GB	169 MB
285	c1/66ca31	16884863	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (KI_4)	COMPLETED	0	2022-03-13 15:06:41.567	1h 34m 24s	12m 43s	4.8%	29.7 MB	209.7 MB	4.6 GB	3.5 MB
391	d5/01698d	16884972	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (WT_2)	COMPLETED	0	2022-03-13 16:22:46.602	18m 19s	6m 18s	8.7%	94.4 MB	124.3 MB	2 GB	164.6 MB
441	e7/816a44	16885021	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_FORWARD:UCSC_BEDCLIP (WT_4)	COMPLETED	0	2022-03-13 16:33:45.405	7m 20s	2m 39s	5.0%	4.4 MB	18.5 MB	773.2 MB	773.1 MB
440	be/b774c6	16885022	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_REVERSE:UCSC_BEDCLIP (WT_4)	COMPLETED	0	2022-03-13 16:33:50.321	7m 20s	2m 39s	4.9%	4.4 MB	18.5 MB	754.2 MB	754.2 MB
375	35/88b653	16884952	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (KI_2)	COMPLETED	0	2022-03-13 15:52:32.046	48m 43s	21m 39s	11.9%	654.1 MB	894 MB	12.2 GB	4.4 GB
291	4d/71f823	16884868	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (WT_2)	COMPLETED	0	2022-03-13 15:09:15.466	1h 32m 5s	13m	5.4%	29.7 MB	209.7 MB	4.8 GB	3.5 MB
397	37/9f85b2	16884974	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (KO_5)	COMPLETED	0	2022-03-13 16:27:55.373	13m 35s	1s	30.4%	2.7 MB	11.9 MB	3.4 MB	6.2 KB
392	2d/0f18c3	16884973	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (WT_2)	COMPLETED	0	2022-03-13 16:25:45.349	17m 35s	5m 20s	10.4%	97.4 MB	127.3 MB	2.1 GB	169.6 MB
439	c1/2c3ffd	16885020	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (KO_2)	COMPLETED	0	2022-03-13 16:33:25.373	10m 45s	6m 12s	10.5%	98.1 MB	127.9 MB	2.4 GB	187.3 MB
442	8c/be5278	16885023	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (KO_2)	COMPLETED	0	2022-03-13 16:33:55.379	11m 10s	6m 33s	10.1%	101.8 MB	131.7 MB	2.5 GB	193.3 MB
404	df/1abfc9	16884980	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (KI_3)	COMPLETED	0	2022-03-13 16:27:56.074	17m 24s	2s	4.2%	6.9 MB	16.1 MB	3.5 MB	6.2 KB
284	86/81da44	16884864	NFCORE_RNASEQ:RNASEQ:DUPRADAR (KI_4)	COMPLETED	0	2022-03-13 15:06:41.692	1h 38m 54s	1h 23m 21s	12.3%	586.7 MB	834 MB	40.9 GB	13.9 GB
443	47/b756f6	16885024	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (KO_1)	COMPLETED	0	2022-03-13 16:37:45.470	8m 55s	6m	10.8%	102.8 MB	132.7 MB	2.4 GB	190.9 MB
321	4f/44b3c4	16884902	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (KO_2)	COMPLETED	0	2022-03-13 15:23:52.227	1h 23m 8s	13m 45s	5.0%	31.2 MB	209.7 MB	5 GB	3.7 MB
398	59/24501e	16884982	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (KI_1)	COMPLETED	0	2022-03-13 16:27:56.300	19m 4s	0ms	15.1%	1.6 MB	5.4 MB	3.4 MB	6.2 KB
444	e6/166122	16885025	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (KO_1)	COMPLETED	0	2022-03-13 16:38:00.382	9m	5m 59s	11.0%	106.2 MB	136 MB	2.5 GB	197.2 MB
446	11/0b88ff	16885027	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_REVERSE:UCSC_BEDGRAPHTOBIGWIG (WT_4)	COMPLETED	0	2022-03-13 16:41:10.411	5m 50s	5m 30s	10.6%	99.2 MB	129.1 MB	2.2 GB	177.1 MB
445	83/d6b39e	16885026	NFCORE_RNASEQ:RNASEQ:BEDGRAPH_TO_BIGWIG_FORWARD:UCSC_BEDGRAPHTOBIGWIG (WT_4)	COMPLETED	0	2022-03-13 16:41:05.477	6m	5m 38s	10.6%	102.2 MB	132.1 MB	2.3 GB	181.9 MB
338	28/94c043	16884916	NFCORE_RNASEQ:RNASEQ:MARK_DUPLICATES_PICARD:SAMTOOLS_INDEX (KO_1)	COMPLETED	0	2022-03-13 15:25:16.702	1h 21m 54s	13m 26s	5.2%	32.8 MB	209.7 MB	5 GB	3.7 MB
407	38/39fd2a	16884983	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (KO_3)	COMPLETED	0	2022-03-13 16:27:56.408	19m 14s	2s	4.5%	6.9 MB	16.1 MB	3.6 MB	6.2 KB
399	1c/8d4da2	16884985	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (WT_3)	COMPLETED	0	2022-03-13 16:27:56.646	19m 14s	1s	6.2%	2.7 MB	11.7 MB	3.3 MB	6.2 KB
