tx	gene_id	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUST00000240255	ENSMUST00000240255	ENSMUSG00000118917	0	0	0	0	0	0	0	0	0	0	0	1.604696	2.735431	0	0
ENSMUST00000193889	ENSMUST00000193889	ENSMUSG00000103003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000195771	ENSMUST00000195771	ENSMUSG00000104328	0	0	0.009823	0.029088	0.011149	0	0	0	0	0.011928	0	0	0.013289	0	0
ENSMUST00000192738	ENSMUST00000192738	ENSMUSG00000102735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000182774	ENSMUST00000182774	ENSMUSG00000098104	0.102025	0.161913	0.215332	0.15509	0.110493	0.057033	0.136876	0.117601	0.385279	0.119219	0.135008	0.151133	0.239152	0.137128	0.18973
ENSMUST00000193443	ENSMUST00000193443	ENSMUSG00000102175	0.051158	0.135417	0.049081	0.09728	0.055315	0.214972	0.171695	0.098331	0.211756	0.029906	0.169459	0.13247	0.299502	0.107557	0.105471
ENSMUST00020182286	ENSMUST00020182286	ENSMUSG00002075947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000195671	ENSMUST00000195671	ENSMUSG00000103265	0.170916	0.100585	0.054271	0.271865	0.119832	0.318674	0.219224	0.163989	0.135898	0.200494	0.075886	0.210522	0.371296	0.288632	0.058494
ENSMUST00000193658	ENSMUST00000193658	ENSMUSG00000103922	0.180743	0.160078	0.143358	0.247315	0.179305	0.358325	0.116077	0.115839	0.213721	0.175835	0.242313	0.133608	0.277357	0.086725	0.06162
ENSMUST00000130201	ENSMUST00000130201	ENSMUSG00000033845	5.661006	3.127076	4.257043	4.259432	4.090413	3.518881	4.882558	5.109978	5.606196	4.58491	4.525444	4.014884	3.807709	4.312913	4.70882
ENSMUST00000156816	ENSMUST00000156816	ENSMUSG00000033845	1.160967	1.157481	1.107424	1.59043	1.149296	2.019772	1.986761	1.076802	1.828782	1.368618	1.353804	1.011703	1.350372	1.303444	1.628211
ENSMUST00000045689	ENSMUST00000045689	ENSMUSG00000033845	11.263268	10.295693	8.704059	10.547713	12.282382	10.822393	9.377104	5.90344	7.915671	9.051969	10.741424	6.666375	10.762696	8.501772	6.486599
ENSMUST00000115538	ENSMUST00000115538	ENSMUSG00000033845	25.985957	25.768789	23.513767	28.658337	28.36935	27.845935	27.086907	22.007411	21.393072	25.532763	22.336629	20.527116	17.432058	21.307414	19.775959
ENSMUST00000195445	ENSMUST00000195445	ENSMUSG00000102275	0.486111	0.667175	0.31066	0.488147	0.523582	0.453095	0.803234	0.38923	0.511161	0.505529	0.501166	0.179969	0.808873	0.499693	0.668594
ENSMUST00000192286	ENSMUST00000192286	ENSMUSG00000033845	0.794226	0.795952	0.65868	0.733118	0.786699	0.797544	0.946601	0.497223	0.945638	0.57268	0.677997	0.461681	0.808526	0.758652	0.802492
ENSMUST00000146665	ENSMUST00000146665	ENSMUSG00000033845	3.408112	3.665243	2.37289	4.247256	3.202815	3.218265	2.773801	1.378979	2.895327	3.042771	3.181408	1.967207	3.006959	2.354416	2.663122
ENSMUST00000132625	ENSMUST00000132625	ENSMUSG00000033845	0	0	0	0	0	0	0	0	0	0	0	0	0	0.386757	0
ENSMUST00000134384	ENSMUST00000134384	ENSMUSG00000025903	0.272596	0.171712	0.050038	0.338313	0.064355	0.319628	0.76621	0.123419	0.217082	0	0.193578	0.095864	0.162738	0.111241	0.285115
ENSMUST00000027036	ENSMUST00000027036	ENSMUSG00000025903	42.109013	44.9484	35.888962	48.612922	29.097311	43.622327	42.85949	39.964101	44.294191	49.521542	36.924986	30.598888	29.749676	45.254064	37.728663
ENSMUST00000150971	ENSMUST00000150971	ENSMUSG00000025903	2.235106	1.632196	2.638038	2.74541	7.770589	1.304826	3.885945	0	1.463844	0.534315	3.336218	3.374974	3.345053	2.50509	1.571635
ENSMUST00000155020	ENSMUST00000155020	ENSMUSG00000104217	0.728207	0.560609	0.445307	0.310754	2.15398	0.437971	0.659136	0.318622	0.43378	1.106553	1.938207	1.043907	0.67407	0.807186	1.3968
ENSMUST00000119612	ENSMUST00000119612	ENSMUSG00000025903	4.211575	4.216669	3.807812	3.986433	10.727022	5.942572	2.666342	4.01192	2.428447	6.316494	6.122115	3.993029	5.267822	4.28876	4.123035
ENSMUST00000137887	ENSMUST00000137887	ENSMUSG00000025903	0	0.176505	0	1.616982	3.789712	0.249878	1.510956	0.585978	0.763777	0.257228	0.30079	0	0	0	0.271116
ENSMUST00000115529	ENSMUST00000115529	ENSMUSG00000025903	7.108383	7.773289	6.538896	5.183908	9.678099	5.813047	5.403038	6.090379	5.433455	6.93356	5.258795	5.963971	5.908662	7.861683	5.563955
ENSMUST00000131119	ENSMUST00000131119	ENSMUSG00000025903	0.989	1.047	1.350564	0.852606	8.121305	1.750827	2.283999	2.818472	0.225771	1.13262	2.178079	2.139501	1.684897	1.477235	2.847083
ENSMUST00000141278	ENSMUST00000141278	ENSMUSG00000025903	0.74181	1.001862	0.877331	0.9616	0.871281	1.515091	1.343187	0.867711	1.45021	0.984171	1.031496	0.69324	1.174247	0.978107	1.040294
ENSMUST00000081551	ENSMUST00000081551	ENSMUSG00000033813	45.943095	44.831904	39.980607	46.13591	42.149157	39.698094	43.62837	38.818725	42.573923	44.816891	33.800343	32.183667	37.952529	36.905655	40.719633
ENSMUST00000165720	ENSMUST00000165720	ENSMUSG00000033813	0.419994	0.366887	0.401553	0.392634	0.469014	0.522391	0.358247	0.316924	1.135411	0.296023	0.46746	0.573132	0.856647	0.408579	0.518543
ENSMUST00000078030	ENSMUST00000078030	ENSMUSG00000062588	0.491301	0.300138	0.392788	0.262701	0.293421	0.311622	0.389217	0.39803	0.396035	0.238905	0	0.049038	0	0.054862	0.431682
ENSMUST00000194052	ENSMUST00000194052	ENSMUSG00000103280	0.028118	0	0	0	0	0	0	0.027015	0.033272	0	0	0	0.036617	0.023652	0
ENSMUST00000002533	ENSMUST00000002533	ENSMUSG00000002459	0.016503	0	0	0.015682	0.035853	0.030761	0	0.047593	0.052798	0.019289	0	0.04891	0	0.078136	0
ENSMUST00000118000	ENSMUST00000118000	ENSMUSG00000002459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000119256	ENSMUST00000119256	ENSMUSG00000002459	0	0	0.070834	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000170566	ENSMUST00000170566	ENSMUSG00000002459	0	0	0	0	0	0	0	0	0.17607	0	0.085887	0	0.083967	0.128594	0
ENSMUST00000147158	ENSMUST00000147158	ENSMUSG00000002459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100763
ENSMUST00000156289	ENSMUST00000156289	ENSMUSG00000002459	0.019483	0	0	0.01852	0	0	0	0	0.023	0	0	0	0	0	0
ENSMUST00000168963	ENSMUST00000168963	ENSMUSG00000091305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000194114	ENSMUST00000194114	ENSMUSG00000102653	0.013515	0	0.012992	0	0	0	0	0	0.015928	0	0.035749	0	0	0.022692	0
ENSMUST00000144339	ENSMUST00000144339	ENSMUSG00000085623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000133521	ENSMUST00000133521	ENSMUSG00000002459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000169520	ENSMUST00000169520	ENSMUSG00000091665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000192847	ENSMUST00000192847	ENSMUSG00000033793	0	0	0	0	0	0.062391	0	0	0	0	0	0	0	0.057578	0
ENSMUST00000044369	ENSMUST00000044369	ENSMUSG00000033793	32.42797	29.911026	24.568071	30.063655	25.532531	24.838204	31.016032	24.139924	27.904436	28.766018	27.053038	22.221602	22.112049	26.295214	25.560161
ENSMUST00000194676	ENSMUST00000194676	ENSMUSG00000033793	2.498395	2.751957	2.315701	2.265028	2.007231	1.529031	3.182625	2.820929	1.901701	2.291655	2.531185	2.798384	1.665509	2.702259	1.619885
ENSMUST00000194301	ENSMUST00000194301	ENSMUSG00000033793	0.397453	0.592041	0.399368	0.478711	0.458672	0.73656	0.724357	0.474685	0.792382	0.661292	0.553273	0.342279	0.702765	0.416944	0.548811
ENSMUST00000194978	ENSMUST00000194978	ENSMUSG00000033793	0.612654	0.800031	0.498272	0.758191	0.599682	0.800779	1.065195	0.629649	1.294773	0.689361	0.81934	0.523879	0.702256	0.748336	0.89534
ENSMUST00000192029	ENSMUST00000192029	ENSMUSG00000033793	0	0	0	0	0.424495	0.162639	0.165404	0	0	0	0	0	0	0	0
ENSMUST00000192698	ENSMUST00000192698	ENSMUSG00000033793	1.826752	0.248047	1.358947	1.58929	1.89563	1.108964	3.014598	1.449645	1.803985	0.369261	0.386481	0.760306	3.148684	2.016782	2.159716
