tx	gene_id	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUST00000193658	ENSMUST00000193658	ENSMUSG00000103922	6.143	6.166	5.086	8.834	5.669	13.066	4.111	4.098	6.136	5.107	6.211	6.134	7.239	3.504	2.031
ENSMUST00000130201	ENSMUST00000130201	ENSMUSG00000033845	367.679	230.242	287.728	291.166	244.346	245.227	330.871	345.226	308.784	254.797	222.163	351.916	189.984	333.583	295.946
ENSMUST00000156816	ENSMUST00000156816	ENSMUSG00000033845	176.004	198.956	174.385	254.008	159.102	328.57	314.506	169.734	235.681	177.671	155.353	206.874	157.312	235.594	238.53
ENSMUST00000045689	ENSMUST00000045689	ENSMUSG00000033845	141.097	146.061	115.003	138.119	148.901	145.426	121.9	77.185	82.698	96.49	100.704	113.163	103.396	125.81	79.444
ENSMUST00000115538	ENSMUST00000115538	ENSMUSG00000033845	728.193	818.305	688.621	843.384	743.253	837.128	790.519	642.098	505.573	611.088	471.545	777.286	375.018	709.127	537.955
ENSMUST00000195445	ENSMUST00000195445	ENSMUSG00000102275	18	28	12	19	18	18	31	15	16	16	14	9	23	22	24
ENSMUST00000192286	ENSMUST00000192286	ENSMUSG00000033845	132.239	150.261	113.901	128.601	119.551	142.493	164.583	86.076	133.866	81.655	85.456	103.679	103.448	150.612	129.105
ENSMUST00000146665	ENSMUST00000146665	ENSMUSG00000033845	179.788	219.176	130.361	235.722	155.847	182.156	152.622	75.681	129.399	137.298	126.779	140.082	121.843	147.836	136.02
ENSMUST00000132625	ENSMUST00000132625	ENSMUSG00000033845	0	0	0	0	0	0	0	0	0	0	0	0	0	8.438	0
ENSMUST00000134384	ENSMUST00000134384	ENSMUSG00000025903	9.951	7.104	1.906	12.981	2.182	12.518	29.151	4.689	6.698	0	5.331	4.726	4.562	4.828	10.09
ENSMUST00000027036	ENSMUST00000027036	ENSMUSG00000025903	3703.66	4482.009	3282.064	4502.061	2346.097	4116.886	3934.558	3655.552	3307.456	3728.171	2456.392	3631.132	2010.362	4742.475	3209.073
ENSMUST00000150971	ENSMUST00000150971	ENSMUSG00000025903	59.865	49.539	73.869	77.21	194.843	37.493	108.382	0	33.05	12.221	67.3	122.163	68.778	79.67	40.873
ENSMUST00000155020	ENSMUST00000155020	ENSMUSG00000104217	18.083	15.775	11.568	8.1	50.192	11.668	17.04	8.24	9.073	23.46	36.233	35.04	12.849	23.791	33.695
ENSMUST00000119612	ENSMUST00000119612	ENSMUSG00000025903	57.809	65.551	55.048	57.239	141.744	87.494	37.996	57.446	27.837	73.814	62.944	74.238	55.452	69.587	55.263
ENSMUST00000137887	ENSMUST00000137887	ENSMUSG00000025903	0	2.108	0	17.801	39.099	2.827	16.523	6.459	6.703	2.306	2.371	0	0	0	2.803
ENSMUST00000115529	ENSMUST00000115529	ENSMUSG00000025903	204.53	253.462	196.588	156.659	260.155	179.439	161.922	182.447	131.879	170.403	114.008	231.869	130.522	268.683	155.384
ENSMUST00000131119	ENSMUST00000131119	ENSMUSG00000025903	18.436	22.11	26.41	16.659	143.572	35.009	44.271	54.749	3.532	18.004	30.498	53.953	24.099	32.626	51.663
ENSMUST00000141278	ENSMUST00000141278	ENSMUSG00000025903	119.503	182.994	146.793	163.202	128.128	261.907	225.952	145.339	198.619	135.77	125.788	150.629	145.363	187.872	161.936
ENSMUST00000081551	ENSMUST00000081551	ENSMUSG00000033813	4109.849	4546.704	3718.498	4345.676	3455.921	3810.482	4073.569	3611.353	3233.429	3431.63	2286.976	3884.332	2608.465	3933.698	3522.482
ENSMUST00000165720	ENSMUST00000165720	ENSMUSG00000033813	42.409	42.002	42.146	41.752	43.363	56.601	37.762	33.279	97.373	25.589	35.71	78.075	66.463	49.167	50.624
ENSMUST00000078030	ENSMUST00000078030	ENSMUSG00000062588	8.107	5.61	6.809	4.541	4.617	5.516	6.675	6.847	5.474	3.36	0	1.095	0	1.072	6.942
ENSMUST00000194052	ENSMUST00000194052	ENSMUSG00000103280	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0
ENSMUST00000002533	ENSMUST00000002533	ENSMUSG00000002459	1	0	0	1	2	2	0	3	2.712	1	0	4	0	5.638	0
ENSMUST00000118000	ENSMUST00000118000	ENSMUSG00000002459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000119256	ENSMUST00000119256	ENSMUSG00000002459	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000170566	ENSMUST00000170566	ENSMUSG00000002459	0	0	0	0	0	0	0	0	2.288	0	1	0	1	2.362	0
ENSMUST00000147158	ENSMUST00000147158	ENSMUSG00000002459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUST00000156289	ENSMUST00000156289	ENSMUSG00000002459	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSMUST00000168963	ENSMUST00000168963	ENSMUSG00000091305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000194114	ENSMUST00000194114	ENSMUSG00000102653	1	0	1	0	0	0	0	0	1	0	2	0	0	2	0
ENSMUST00000144339	ENSMUST00000144339	ENSMUSG00000085623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000133521	ENSMUST00000133521	ENSMUSG00000002459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000169520	ENSMUST00000169520	ENSMUSG00000091665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000192847	ENSMUST00000192847	ENSMUSG00000033793	0	0	0	0	0	3.765	0	0	0	0	0	0	0	3.855	0
ENSMUST00000044369	ENSMUST00000044369	ENSMUSG00000033793	2294.806	2399.598	1808.757	2239.451	1660.107	1885.994	2290.328	1776.829	1675.181	1741.984	1447.329	2122.059	1202.13	2216.327	1749.965
ENSMUST00000194676	ENSMUST00000194676	ENSMUSG00000033793	75.637	94.417	73.226	72.034	56.692	49.662	100.371	88.907	48.588	59.268	57.754	114.46	38.713	97.193	47.586
ENSMUST00000194301	ENSMUST00000194301	ENSMUSG00000033793	69.592	117.536	72.62	88.311	73.282	138.39	132.446	86.415	117.97	99.159	73.339	80.831	94.558	87.05	92.846
ENSMUST00000194978	ENSMUST00000194978	ENSMUSG00000033793	53.954	79.877	45.625	70.306	48.413	75.671	97.912	57.668	96.805	51.964	54.576	62.248	47.516	78.524	76.252
ENSMUST00000192029	ENSMUST00000192029	ENSMUSG00000033793	0	0	0	0	3.527	1.461	1.434	0	0	0	0	0	0	0	0
ENSMUST00000192698	ENSMUST00000192698	ENSMUSG00000033793	112.957	17.387	87.459	103.422	107.876	73.576	194.476	93.243	94.577	19.535	18.061	63.45	149.564	148.492	129.243
ENSMUST00000192142	ENSMUST00000192142	ENSMUSG00000033793	36.054	55.185	48.313	44.476	26.103	73.482	72.034	46.938	71.879	33.089	56.941	67.953	33.519	46.559	59.109
ENSMUST00000193351	ENSMUST00000193351	ENSMUSG00000104352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000193241	ENSMUST00000193241	ENSMUSG00000104046	1	5	1	2	1	3	2	5	0	0	2	0	1	2	0
ENSMUST00000194850	ENSMUST00000194850	ENSMUSG00000102907	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUST00000192685	ENSMUST00000192685	ENSMUSG00000025905	2.067	0	0	1	2.29	5.56	0	0	3.393	0	2	2.232	2.197	1	0
ENSMUST00000160777	ENSMUST00000160777	ENSMUSG00000025905	0	0.5	3.118	11	4.219	19.102	0	0	72.32	0	3	5.384	56.78	14.02	8.571
ENSMUST00000239100	ENSMUST00000239100	ENSMUSG00000025905	37.933	0.5	3.118	11	4.219	19.102	0	6.384	0	23.007	3	5.384	0	14.02	8.571
ENSMUST00000027038	ENSMUST00000027038	ENSMUSG00000025905	0	0	0	0	0	0	0	0	3.813	0	0	0	0	2.441	0
ENSMUST00000160339	ENSMUST00000160339	ENSMUSG00000025905	0	0	0	0	0	0	0	4.616	0	13.141	0	0	0	0	0
ENSMUST00000159083	ENSMUST00000159083	ENSMUSG00000025905	0	0	2.764	0	1.272	1.236	1	0	9.475	3.852	0	0	9.024	1.52	5.858
ENSMUST00000193797	ENSMUST00000193797	ENSMUSG00000103936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00020183055	ENSMUST00020183055	ENSMUSG00002076544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000193807	ENSMUST00000193807	ENSMUSG00000103519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000044180	ENSMUST00000044180	ENSMUSG00000033774	1	2	7	0	2	1	0	0	0	0	3	0	1	8	1
ENSMUST00000191956	ENSMUST00000191956	ENSMUSG00000103090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000159906	ENSMUST00000159906	ENSMUSG00000025907	0	4.083	1.768	4.694	1.97	4.183	4.406	7.163	1.959	1.695	0	1.808	0	1.883	0
ENSMUST00000160871	ENSMUST00000160871	ENSMUSG00000025907	90.351	61.92	77.711	82.07	65.307	121.569	89.257	43.178	85.221	72.835	66.375	113.994	77.508	98.744	86.688
ENSMUST00000191825	ENSMUST00000191825	ENSMUSG00000090031	186.562	304.995	216.577	291.671	170.599	436	352.088	278.885	320.107	196.95	197.844	278	262.993	302	268.792
ENSMUST00000159618	ENSMUST00000159618	ENSMUSG00000090031	6.438	5.005	6.423	7.329	5.401	0	16.912	16.115	4.893	7.05	8.156	0	14.007	0	8.208
ENSMUST00000097832	ENSMUST00000097832	ENSMUSG00000090031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000027040	ENSMUST00000027040	ENSMUSG00000025907	921.655	1204.103	1152.697	1018.986	827.304	1254.486	958.944	788.698	1509.421	820.496	593.792	1116.532	1042.623	980.993	1037.973
ENSMUST00000162210	ENSMUST00000162210	ENSMUSG00000025907	60.203	63.742	36.59	49.465	47.591	87.981	58.955	45.913	62.923	47.914	35.571	50.613	50.989	54.109	36.48
ENSMUST00000160062	ENSMUST00000160062	ENSMUSG00000025907	4.11	6.634	8.302	5.805	1.456	4.361	0	1.244	1.322	0	1.432	1.346	7.539	9.876	0
ENSMUST00000162795	ENSMUST00000162795	ENSMUSG00000025907	689.53	899.469	469.209	780.573	661.496	854.742	821.359	822.243	744.384	716.122	531.579	767.859	699.046	785.401	648.048
ENSMUST00000161327	ENSMUST00000161327	ENSMUSG00000025907	1401.652	1344.025	924.336	1188.267	851.144	1417.812	1376.922	1145.698	1092.602	1195.954	846.244	1021.588	1039.775	1277.419	1008.678
ENSMUST00000159802	ENSMUST00000159802	ENSMUSG00000025907	113.262	200.308	137.956	116.248	97.704	252.958	230.483	151.524	209.889	115.363	145.107	190.76	189.13	146.717	114.689
ENSMUST00000162257	ENSMUST00000162257	ENSMUSG00000025907	458.631	638.926	439.779	608.716	597.698	665.483	659.752	591.347	692.267	565.058	377.287	617.43	478.545	530.458	486.37
ENSMUST00000159206	ENSMUST00000159206	ENSMUSG00000025907	23.422	46.929	18.351	21.691	17.57	38.774	35.601	20.183	23.36	22.12	27.066	28.388	31.648	29.892	33.514
ENSMUST00000159661	ENSMUST00000159661	ENSMUSG00000025907	13.715	19.288	30.445	13.765	38.716	51.911	34.377	27.807	39.043	11.465	30.154	39.116	11.402	8.982	17.641
ENSMUST00000161183	ENSMUST00000161183	ENSMUSG00000025907	6.232	6.149	5.634	1.158	8.54	6.789	19.189	8.029	8.826	4.193	5.2	8.824	14.32	2.499	12.022
ENSMUST00000159349	ENSMUST00000159349	ENSMUSG00000025907	11.903	14.197	15.244	12.306	2.81	43.129	21.785	26.253	23.267	5.523	14.326	25.605	18.029	8.962	12.119
ENSMUST00000159530	ENSMUST00000159530	ENSMUSG00000025907	27.637	49.095	8.25	21.098	35.46	5.494	13.546	44.866	26.938	14.963	48.934	40.583	43.802	14.582	31.482
ENSMUST00000162418	ENSMUST00000162418	ENSMUSG00000025907	48.696	104.131	43.726	54.153	44.236	126.321	86.424	67.855	103.577	45.298	46.931	72.546	83.643	68.472	61.657
ENSMUST00000159656	ENSMUST00000159656	ENSMUSG00000025907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.639
ENSMUST00000133144	ENSMUST00000133144	ENSMUSG00000087247	5	6	7	18	28	8	4	3	3	15	11	7	7	4	25
ENSMUST00000193588	ENSMUST00000193588	ENSMUSG00000103355	0	1.015	2.028	1.01	4.172	1.017	0	1.028	0	3.075	0	2.065	2.032	4.102	3.134
ENSMUST00000192950	ENSMUST00000192950	ENSMUSG00000102706	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
