tx	gene_id	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUST00000221117	ENSMUST00000221117	ENSMUSG00000113317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000222422	ENSMUST00000222422	ENSMUSG00000071234	4	0	0	0	8.06	5	0	0	4	5	0	0	4.537	0	0
ENSMUST00000221905	ENSMUST00000221905	ENSMUSG00000071234	0	0.881	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000221793	ENSMUST00000221793	ENSMUSG00000071234	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0
ENSMUST00000021668	ENSMUST00000021668	ENSMUSG00000021242	6547.975	6998.689	5821.554	6656.337	4719.949	7026.378	6332.484	5285.566	5963.428	6273.702	4505.407	6594.135	4775.823	6852.438	5347.466
ENSMUST00000223200	ENSMUST00000223200	ENSMUSG00000021242	385.052	527.79	464.595	407.202	473.66	538.745	667.001	485.628	666.984	507.327	337.434	342.208	335.628	530.807	465.165
ENSMUST00000221056	ENSMUST00000221056	ENSMUSG00000021242	22.974	36.521	30.851	23.46	38.391	19.877	52.516	20.806	34.588	23.97	8.159	29.657	15.548	27.755	38.369
ENSMUST00000021667	ENSMUST00000021667	ENSMUSG00000021241	263.401	266.041	246.793	318.129	277.079	268.465	249.497	210.978	203.822	218.881	205.863	247.192	169.657	303.945	172.597
ENSMUST00000222166	ENSMUST00000222166	ENSMUSG00000021241	129.259	175.604	98.303	141.07	78.325	154.427	144.249	115.237	184.344	108.137	96.298	121.732	118.397	144.97	63.681
ENSMUST00000222136	ENSMUST00000222136	ENSMUSG00000021241	0	4	0	0	1.033	10.074	4.024	7.121	7	0	1.66	4.026	3.137	2.01	0
ENSMUST00000222449	ENSMUST00000222449	ENSMUSG00000021241	2.36	6.762	10.864	12.36	3.413	6.196	15.807	1.93	12.793	9.104	3.838	10.761	9.788	9.038	8.105
ENSMUST00000223089	ENSMUST00000223089	ENSMUSG00000021241	16.584	13.803	17.275	14.603	15.646	15.061	56.833	0	21.385	16.258	14.261	35.542	6.479	27.212	33.986
ENSMUST00000222982	ENSMUST00000222982	ENSMUSG00000021241	0	17.499	15.175	37.084	37.787	22.132	34.764	11.568	22.224	9.392	11.977	4.63	25.234	40.65	44.299
ENSMUST00000222818	ENSMUST00000222818	ENSMUSG00000021241	0	0	1.379	1.344	0	0	0	0	0	1.399	1.904	0	0	0	1.445
ENSMUST00000222022	ENSMUST00000222022	ENSMUSG00000021241	57.397	29.291	30.21	22.409	16.717	25.644	49.765	37.167	42.432	21.829	26.198	43.119	17.308	52.175	32.391
ENSMUST00000220726	ENSMUST00000220726	ENSMUSG00000021241	0	0	0	0	0	0	8.061	0	0	0	0	0	0	0	45.497
ENSMUST00000002073	ENSMUST00000002073	ENSMUSG00000002020	88.261	1124.345	291.58	209.646	116.944	201.824	429.064	303.861	102.907	605.985	203.692	299.211	13.479	428.568	99.418
ENSMUST00000110254	ENSMUST00000110254	ENSMUSG00000002020	34.349	442.844	0	0	37.342	55.184	11.978	0	0	146.5	0	0	106.214	32.417	49.123
ENSMUST00000163189	ENSMUST00000163189	ENSMUSG00000002020	0	0	0	0	0	0	0	116.216	0	0	0	0	0	0	0
ENSMUST00000166383	ENSMUST00000166383	ENSMUSG00000002020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000163214	ENSMUST00000163214	ENSMUSG00000002020	0	4.084	0	0	0	0	0	0	0	0	0	13.319	0	0	0
ENSMUST00000165141	ENSMUST00000165141	ENSMUSG00000002020	0	0	0	0	0	0	0	6.497	0	0	0	0	0	0	0
ENSMUST00000168699	ENSMUST00000168699	ENSMUSG00000002020	1.39	85.727	1.42	6.354	1.714	6.992	15.958	9.426	3.093	12.515	3.308	1.471	3.307	7.015	1.458
ENSMUST00000171853	ENSMUST00000171853	ENSMUSG00000092130	0	35	4	2	0	2.8	1	4	1	1	0	0	4	3	1
ENSMUST00000220643	ENSMUST00000220643	ENSMUSG00000092130	0	0	0	0	0	2.2	0	0	0	0	0	1	0	0	0
ENSMUST00000221790	ENSMUST00000221790	ENSMUSG00000113079	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000163802	ENSMUST00000163802	ENSMUSG00000092006	0	2	1	1	0	0	0	0	0	1	2	0	0	0	1
ENSMUST00000163231	ENSMUST00000163231	ENSMUSG00000042350	0	63.242	19.801	14.906	0	56.855	0	0	0	0	29.081	18.098	20.948	64.873	0
ENSMUST00000043169	ENSMUST00000043169	ENSMUSG00000042350	3174.114	4003.608	3005.935	3237.411	2685.63	3189.652	3727.817	3394.224	2471.207	2952.729	2542.708	3399.656	1957.114	3306.582	2842.014
ENSMUST00000116345	ENSMUST00000116345	ENSMUSG00000079645	5	16	11	10	5	12	20	13	16	7	7	11	10	15	9
ENSMUST00000163372	ENSMUST00000163372	ENSMUSG00000042350	0	0	2.046	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000169161	ENSMUST00000169161	ENSMUSG00000042350	0	0	0	0	0	0	0	0	0	0	1.74	0	0	0	0
ENSMUST00000165093	ENSMUST00000165093	ENSMUSG00000042350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000167448	ENSMUST00000167448	ENSMUSG00000042350	79.917	101.722	89.492	83.647	36.733	109.889	138.755	102.025	54.7	100.54	72.476	78.625	50.426	104.257	90.041
ENSMUST00000165886	ENSMUST00000165886	ENSMUSG00000042350	0	0	0	0	0	0	1.379	0	0	0	0	0	0	0	0
ENSMUST00000168713	ENSMUST00000168713	ENSMUSG00000042350	15.969	12.427	12.727	7.035	15.637	11.604	17.048	6.75	16.093	5.731	11.995	5.621	7.513	5.289	6.945
ENSMUST00000021669	ENSMUST00000021669	ENSMUSG00000021243	880.486	993.374	798.097	887.396	735.408	723.539	950.031	686.605	695.495	640.503	546.617	862.732	548.841	856.754	719.615
ENSMUST00000171040	ENSMUST00000171040	ENSMUSG00000021243	0	0	0	7.737	0	21.561	7.249	0	0	5.033	0	0	0	7.498	0
ENSMUST00000172241	ENSMUST00000172241	ENSMUSG00000021243	21.508	23.611	19.898	20.867	13.589	26.901	18.716	9.394	19.505	16.449	20.38	31.268	18.15	26.744	19.385
ENSMUST00000168977	ENSMUST00000168977	ENSMUSG00000021244	46.522	30.772	0	39.919	0	67.116	34.091	19.445	11.966	27.13	0	0	11.521	72.491	35.519
ENSMUST00000021670	ENSMUST00000021670	ENSMUSG00000021244	642.523	795.359	716.789	908.774	848.046	830.821	771.3	1065.694	749.666	509.366	753.62	1083.049	664.021	932.23	816.655
ENSMUST00000101202	ENSMUST00000101202	ENSMUSG00000021244	0	0	0	0	38.052	0	0	0	0	0	4.379	7.156	0	0	0
ENSMUST00000164558	ENSMUST00000164558	ENSMUSG00000021244	503.556	775.019	654.533	701.45	604.844	746.547	767.049	679.907	628.823	527.091	428.249	694.101	407.23	691.188	556.686
ENSMUST00000169150	ENSMUST00000169150	ENSMUSG00000021244	273.785	354.109	338.121	309.256	314.958	389.755	325.884	340.089	355.972	226.095	245.366	338.141	243.657	317.815	357.194
ENSMUST00000165803	ENSMUST00000165803	ENSMUSG00000021244	12.201	5.041	7.061	15.638	3.434	17.275	27.199	5.987	6.785	4.837	13.341	10.001	2.87	5.883	14.213
ENSMUST00000167838	ENSMUST00000167838	ENSMUSG00000021244	66.129	82.601	73.318	70.431	52.61	76.856	82.312	59.019	62.638	61.129	69.957	95.867	55.698	61.56	70.259
ENSMUST00000166605	ENSMUST00000166605	ENSMUSG00000021244	29.285	67.098	32.178	26.532	60.057	55.63	46.166	41.859	77.15	31.352	38.086	44.685	36.004	61.834	38.474
ENSMUST00000177043	ENSMUST00000177043	ENSMUSG00000093629	14	35	21	14	35	38	38	15	34	21	14	37	28	44	31
ENSMUST00000177289	ENSMUST00000177289	ENSMUSG00000042320	0	2.787	13.56	12.133	6.503	16.449	0	34	18.149	25.184	16.414	7.201	14.692	13.861	12.625
ENSMUST00000110249	ENSMUST00000110249	ENSMUSG00000042320	17.385	14.212	16.44	5.867	11.384	5.604	16.622	0	11.174	22.66	5.586	23.799	0	24.139	25.375
ENSMUST00000191324	ENSMUST00000191324	ENSMUSG00000042320	4.615	15.001	0	0	7.113	18.947	9.378	0	3.677	0	0	0	5.308	0	0
ENSMUST00000192514	ENSMUST00000192514	ENSMUSG00000102935	4	5	5	1	7	7	4	2	9	2	8	5	4	8	1
ENSMUST00000221003	ENSMUST00000221003	ENSMUSG00000042320	8	11	12	4	8	9	12	4	10	13.157	11	24	16	9	10
ENSMUST00000053811	ENSMUST00000053811	ENSMUSG00000004789	4386.865	4869.485	3853.15	5152.212	3900.493	4187.455	4529.432	3872.08	3833.264	3828.706	3334.951	4623.016	2909.252	5607.797	3808.675
ENSMUST00000221357	ENSMUST00000221357	ENSMUSG00000004789	273.397	354.939	234.285	421.701	262.854	318.373	285.681	218.66	212.712	194.444	162.741	238.33	201.766	385.815	302.768
ENSMUST00000223415	ENSMUST00000223415	ENSMUSG00000004789	126	218.065	166.095	208.029	136.129	200.034	181.029	130.075	245.046	134.132	104.024	157	124.062	185	184.069
ENSMUST00000221288	ENSMUST00000221288	ENSMUSG00000004789	55.704	46.891	43.687	46.611	36.732	51.45	62.095	42.589	58.098	34.448	28.058	54.78	38.839	62.451	43.678
ENSMUST00000221842	ENSMUST00000221842	ENSMUSG00000004789	0	0	0	0	6.568	2.277	0	0	2.146	0	0	0	0	0	0
ENSMUST00000223332	ENSMUST00000223332	ENSMUSG00000004789	3.562	0	10.917	0	0	3.09	11.311	0	4.079	9.866	0	0	0	14.639	0
ENSMUST00000222998	ENSMUST00000222998	ENSMUSG00000004789	8.003	6.612	12.415	10.792	2.527	10.402	16.024	10.856	12.632	10.606	3.773	7.51	15.278	11.905	13.466
ENSMUST00000220559	ENSMUST00000220559	ENSMUSG00000004789	17	33.071	19	27.027	19	29.071	22.025	14	37.051	26	21	13	26	33	20
ENSMUST00000223413	ENSMUST00000223413	ENSMUSG00000004789	339.701	499.982	461.132	338.058	322.715	538.746	336.985	255.332	284.352	261.451	137.653	236.459	255.234	293.936	321.902
ENSMUST00000220633	ENSMUST00000220633	ENSMUSG00000004789	16.801	28.265	25.224	29.519	20.712	29.261	35.749	31.852	34.886	22.238	14.081	15.186	25.256	28.339	29.462
ENSMUST00000223438	ENSMUST00000223438	ENSMUSG00000004789	8.726	0	6.694	7.729	9.477	0	5.13	2.824	8.935	0	0	0	0	14.07	0
ENSMUST00000223409	ENSMUST00000223409	ENSMUSG00000004789	8	5	4	8.017	3.014	4	3	2	4	1	6	2.004	5.018	5	2
ENSMUST00000222472	ENSMUST00000222472	ENSMUSG00000004789	12.243	16.691	14.401	15.304	14.779	28.84	27.539	20.732	22.8	14.11	9.721	19.715	13.397	23.122	9.979
ENSMUST00000221972	ENSMUST00000221972	ENSMUSG00000019235	169.769	143.218	74.568	57.719	150.151	108.808	303.407	393.654	94.551	81.832	84.823	295.94	103.295	109.812	230.33
ENSMUST00000222232	ENSMUST00000222232	ENSMUSG00000019235	23.928	4.274	14.31	7.737	38.196	22.048	57.258	70.194	14.013	5.168	16.067	32.06	3.705	0	33.795
ENSMUST00000019379	ENSMUST00000019379	ENSMUSG00000019235	5.303	6.508	27.122	8.544	15.653	13.144	19.335	13.152	7.436	0	21.11	0	0	3.188	11.874
ENSMUST00000223399	ENSMUST00000223399	ENSMUSG00000019235	5	5	1	2	3	1	4	5	7	0	2	7	4	1	6
ENSMUST00000223220	ENSMUST00000223220	ENSMUSG00000004791	2.547	6.387	0	0	0	0	0	0	0	0	0	0	2.572	0	0
ENSMUST00000004913	ENSMUST00000004913	ENSMUSG00000004791	76.281	123.507	55.907	64.889	82.952	66.976	108.881	129.07	55.624	38.81	56	128.246	45.428	51.936	126.236
ENSMUST00000220985	ENSMUST00000220985	ENSMUSG00000004791	0	0	0	0	0	0	0	1.93	0	2.19	0	3.754	0	0	1.764
ENSMUST00000222850	ENSMUST00000222850	ENSMUSG00000004791	3.172	3.106	1.093	1.111	2.048	1.024	2.119	0	3.376	0	0	0	0	1.064	0
ENSMUST00000221330	ENSMUST00000221330	ENSMUSG00000113681	0	1.011	0	0	0	0	1.009	0	0	0	0	1.018	0	0	0
ENSMUST00000004910	ENSMUST00000004910	ENSMUSG00000004788	753.577	1110.775	749.851	936.456	685.65	922.185	1057.514	950.681	714.949	829.543	704.428	1096.345	507.77	923.629	784.686
ENSMUST00000140900	ENSMUST00000140900	ENSMUSG00000004788	15.152	19.318	9.408	8.717	10.859	17.986	18.316	4.339	0	8.28	14.856	11.242	10.035	6.015	13.705
ENSMUST00000136495	ENSMUST00000136495	ENSMUSG00000004788	33.184	21.635	30.133	50.586	84.456	0	5.577	0	0	0	0	7.269	4.609	15.423	0
ENSMUST00000150935	ENSMUST00000150935	ENSMUSG00000004788	0	13.392	0	0	0	17.664	25.058	0	17.894	0	0	19.293	0	0	0
ENSMUST00000151925	ENSMUST00000151925	ENSMUSG00000004788	2.253	28.078	21.144	27.927	22.248	32.402	11.486	21.697	27.002	17.597	4.266	22.277	16.456	35.2	15.269
ENSMUST00000128709	ENSMUST00000128709	ENSMUSG00000004788	12.987	17.254	47.932	16.852	10.676	28.105	16.175	17.284	22.064	6.58	13.684	22.917	6.597	8.628	17.34
ENSMUST00000130760	ENSMUST00000130760	ENSMUSG00000004788	68.848	26.549	31.532	27.464	39.111	51.659	70.875	0	19.091	0	26.767	60.657	34.533	43.105	0
ENSMUST00000223230	ENSMUST00000223230	ENSMUSG00000021245	0	0	0	6.13	0	2.986	0	0	2.96	0	0	0	3.949	0	0
ENSMUST00000019378	ENSMUST00000019378	ENSMUSG00000021245	657.427	668.725	77.187	646.294	706.416	596.612	634.976	549.354	778.395	403.927	548.492	614.947	579.675	767.4	730.273
ENSMUST00000166821	ENSMUST00000166821	ENSMUSG00000021245	0	0	558.851	0	0	157.686	0	221.501	0	275.39	0	0	0	0	0
ENSMUST00000223005	ENSMUST00000223005	ENSMUSG00000021245	31.271	37.668	26.062	35.249	26.542	39.164	18.202	28.117	29.776	24.149	12.798	19.372	15.659	23.103	19.543
ENSMUST00000220854	ENSMUST00000220854	ENSMUSG00000021245	55.302	97.607	64.9	115.327	35.042	53.552	140.822	26.028	40.868	48.534	9.71	64.681	56.718	59.497	42.184
ENSMUST00000184173	ENSMUST00000184173	ENSMUSG00000098263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000221577	ENSMUST00000221577	ENSMUSG00000113568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000008966	ENSMUST00000008966	ENSMUSG00000008822	204.775	130.761	163.998	148.626	160.736	187.027	211.8	193.171	165.898	155.049	145.736	207.223	151.635	157.646	186.554
ENSMUST00000117138	ENSMUST00000117138	ENSMUSG00000008822	13.669	5.819	9.979	15.374	3.418	9.195	9.921	14.829	12.907	11.543	5.981	20.779	14.252	4.218	13.503
ENSMUST00000121930	ENSMUST00000121930	ENSMUSG00000008822	1.435	0	0	0	12.07	4.828	0	0	1.353	0	0	3.748	7.807	3.708	0
ENSMUST00000239335	ENSMUST00000239335	ENSMUSG00000045064	32.868	8.448	6.391	14.426	33.007	41.927	12.577	0	19.969	26.781	25.692	14.156	30.073	23.102	18.097
ENSMUST00000239352	ENSMUST00000239352	ENSMUSG00000045064	7.211	4.524	0	0	6.829	8.084	2.559	6.175	8.166	14.073	0	13.068	17.459	8.333	0
ENSMUST00000065913	ENSMUST00000065913	ENSMUSG00000008822	3.121	4.419	3.023	0	3.776	6.951	4.28	0	5.842	1.408	1.283	1.25	1.307	5.428	2.943
ENSMUST00000059341	ENSMUST00000059341	ENSMUSG00000045064	42.921	30.028	38.609	43.574	61.164	97.99	42.864	68.825	125.865	101.146	56.308	72.776	116.468	87.565	98.903
ENSMUST00000040992	ENSMUST00000040992	ENSMUSG00000034290	3219	3909	2980	3816	2934	4011	3380	3196	3752	3913	2414	3916	2803	3854	3162
ENSMUST00000222529	ENSMUST00000222529	ENSMUSG00000021248	1400.595	1973.932	1393.814	1754.42	1399.858	1592.059	1521.307	1545.065	1276.309	1658.124	1068.163	1510.227	1032.851	1902.26	1411.314
ENSMUST00000040766	ENSMUST00000040766	ENSMUSG00000021248	2856.233	3877.387	2866.229	3714.804	3096.91	3339.953	3157.574	3508.819	2518.566	2963.719	2620.41	3950.483	1835.884	3940.622	2920.511
ENSMUST00000222585	ENSMUST00000222585	ENSMUSG00000021248	0	0	0	0	58.17	0	0	0	0	0	0	0	0	0	0
ENSMUST00000220964	ENSMUST00000220964	ENSMUSG00000113072	0	0	0	1.008	0	1.006	1.005	0	0	0	0	1.001	0	0	0
ENSMUST00000222887	ENSMUST00000222887	ENSMUSG00000113752	72	122	86	105	65	138	123	111	115	60	83	112	69	116	101
ENSMUST00000223375	ENSMUST00000223375	ENSMUSG00000021248	74.632	131.823	83.062	105.808	78.68	101.941	82.854	80.538	91.966	67.324	58.931	84.523	57.383	108.116	71.311
ENSMUST00000222051	ENSMUST00000222051	ENSMUSG00000113488	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUST00000221505	ENSMUST00000221505	ENSMUSG00000113940	0	0	0	2	0	0	0	0	0	3	1	0	1	1	0
ENSMUST00000220805	ENSMUST00000220805	ENSMUSG00000113940	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUST00000021674	ENSMUST00000021674	ENSMUSG00000021250	6485.172	15522.541	7098.146	4467.534	5131.056	7976.761	2390.852	3536.802	6360.635	1839.855	1640.581	3524.1	2414.934	4350.909	3674.184
ENSMUST00000136122	ENSMUST00000136122	ENSMUSG00000021250	157.73	621.459	77.818	79.516	223.262	178.958	39.561	62.894	108.559	36.145	40.419	110.9	92.124	174.091	77.119
ENSMUST00000140525	ENSMUST00000140525	ENSMUSG00000021250	4.395	0	0	0	0	5.411	6.587	13.94	4.061	0	0	0	0	0	4.697
ENSMUST00000134311	ENSMUST00000134311	ENSMUSG00000021250	81.703	0	142.036	172.95	199.682	153.87	0	88.364	67.745	0	0	0	106.941	0	0
ENSMUST00000220590	ENSMUST00000220590	ENSMUSG00000114163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000223391	ENSMUST00000223391	ENSMUSG00000113165	3	27	7	13	18	18	4	9	16	22	5	11	9	7	11
ENSMUST00000177587	ENSMUST00000177587	ENSMUSG00000034271	10.062	10.155	10.406	46.46	14.722	13.387	0	0	10.098	9.837	10.709	24.873	0	0	0
ENSMUST00000050687	ENSMUST00000050687	ENSMUSG00000034271	200.938	607.52	188.594	197.54	130.278	221.613	219.241	212.906	220.902	251.917	92.539	255.892	180	83.184	197.868
ENSMUST00000171754	ENSMUST00000171754	ENSMUSG00000034271	0	0	0	0	0	0	98.73	0	0	148.174	58.642	0	0	195.816	0
ENSMUST00000222689	ENSMUST00000222689	ENSMUSG00000034271	0	2.325	0	0	0	0	1.029	1.094	1	1.072	1.111	2.235	0	0	1.132
ENSMUST00000222443	ENSMUST00000222443	ENSMUSG00000113249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000040536	ENSMUST00000040536	ENSMUSG00000034266	47	62	40	41	27	43	72	42	27	48	41	74	21	28	23
ENSMUST00000222781	ENSMUST00000222781	ENSMUSG00000034266	0	2	1	2	0	0	2	2	1	0	1	5	3	0	1
ENSMUST00000239897	ENSMUST00000239897	ENSMUSG00000119481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00020182400	ENSMUST00020182400	ENSMUSG00002075690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000220921	ENSMUST00000220921	ENSMUSG00000113464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000040461	ENSMUST00000040461	ENSMUSG00000034258	41.102	43	18	25	24	46	69	43.137	61	43	19	50	47	20	35
ENSMUST00000221585	ENSMUST00000221585	ENSMUSG00000034258	2.898	0	0	0	0	0	0	3.863	0	0	0	0	0	0	0
ENSMUST00000021676	ENSMUST00000021676	ENSMUSG00000021252	1499.442	1323.95	1206.824	1382.599	1173.013	1179.736	1475.806	1146.593	898.085	921.101	888.316	1327.978	696.848	1724.228	1145.148
ENSMUST00000131681	ENSMUST00000131681	ENSMUSG00000021252	0	0	0	0	0	0	0	0	0	0	0	0	0	3.78	0
ENSMUST00000124311	ENSMUST00000124311	ENSMUSG00000021252	80.498	98.161	75.627	80.337	84.519	84.271	67.108	66.56	56.864	48.829	40.884	68.149	60.295	95.302	61.689
ENSMUST00000148323	ENSMUST00000148323	ENSMUSG00000021252	0	5.807	1.548	0	5.468	1.939	0	5.847	0	0	2.755	1.644	7.857	6.198	3.163
ENSMUST00000142331	ENSMUST00000142331	ENSMUSG00000021252	1.06	1.081	0	1.063	0	1.055	1.086	0	1.051	1.07	1.045	2.229	0	4.492	0
ENSMUST00000177188	ENSMUST00000177188	ENSMUSG00000012609	18.754	13.584	0	0	0	0	0	0	0	10.669	10.938	15.88	0	22.338	0
ENSMUST00000095536	ENSMUST00000095536	ENSMUSG00000012609	38.348	52.105	39.053	53.153	56.37	45.875	38.71	50.738	41.183	24.88	22.418	37.492	44.403	65.582	53.266
ENSMUST00000110220	ENSMUST00000110220	ENSMUSG00000012609	42.377	21.939	25.924	33.986	30.909	67.406	48.794	43.658	42.831	21.553	44.252	34.184	29.328	28.783	44.579
ENSMUST00000040179	ENSMUST00000040179	ENSMUSG00000012609	297.747	442.415	338.536	300.439	235.995	301.552	258.865	259.269	179.187	188.988	187.859	232.257	211.369	326.998	214.043
ENSMUST00000176695	ENSMUST00000176695	ENSMUSG00000012609	5.795	5.232	0	5.353	22.653	0	0	0	0	3.641	0	0	0	0	0
ENSMUST00000040273	ENSMUST00000040273	ENSMUSG00000012609	221.203	213.904	105.26	215.955	246.42	245.464	358.72	227.595	212.75	187.604	109.055	275.686	81.628	243.354	258.535
ENSMUST00000176008	ENSMUST00000176008	ENSMUSG00000012609	40.609	42.607	52.03	44.005	40.705	64.172	64.241	39.879	42.544	32.293	49.234	44.683	27.158	35.258	43.979
ENSMUST00000110224	ENSMUST00000110224	ENSMUSG00000012609	77.988	63.597	19.37	71.451	0	50.567	133.124	51.251	177.821	95.459	0	64.829	134.815	91.789	28.862
ENSMUST00000142411	ENSMUST00000142411	ENSMUSG00000012609	11.01	4.932	4.756	0	0	3.412	7.432	1.379	3.261	3.188	0	9.953	1.326	1.538	1.268
ENSMUST00000124701	ENSMUST00000124701	ENSMUSG00000012609	18.529	43.061	22.201	22.711	17.637	25.478	35.082	42.622	32.822	17.619	21.513	21.474	26.127	23.686	41.119
ENSMUST00000153570	ENSMUST00000153570	ENSMUSG00000012609	3.709	9.038	2.089	19.241	10.76	14.44	13.482	0	0	12.503	3.585	1.706	22.698	9.6	0
ENSMUST00000155448	ENSMUST00000155448	ENSMUSG00000012609	0	85.345	162.991	120.391	158.416	90.333	0	122.537	97.121	64.992	108.49	106.639	33.762	79.448	163.075
ENSMUST00000177114	ENSMUST00000177114	ENSMUSG00000012609	0	0	0	0	0	0	0	0	0	0	21.754	0	0	0	0
ENSMUST00000175899	ENSMUST00000175899	ENSMUSG00000012609	1.017	9.441	2.022	3.126	4.22	1.007	6.188	4.242	3.137	1.019	5.18	5.349	1.011	11.223	8.088
ENSMUST00000176460	ENSMUST00000176460	ENSMUSG00000012609	5.2	29.553	22.219	3.324	14.804	0	11.769	13.431	10.836	0	0	8.411	8.612	16.625	19.548
ENSMUST00000177168	ENSMUST00000177168	ENSMUSG00000012609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000176937	ENSMUST00000176937	ENSMUSG00000012609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000177525	ENSMUST00000177525	ENSMUSG00000012609	2.714	10.248	29.731	15.864	20.294	25.697	38.902	7.4	19.981	3.592	12.721	18.456	16.763	20.833	11.638
ENSMUST00000175844	ENSMUST00000175844	ENSMUSG00000012609	0	0	1.818	0	3.817	1.596	1.69	0	1.526	0	0	0	0	3.945	0
ENSMUST00000220906	ENSMUST00000220906	ENSMUSG00000012609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000181727	ENSMUST00000181727	ENSMUSG00000097902	0	2	0	0	0	0	0	0	0	0	0	2	0	1	1
ENSMUST00000003687	ENSMUST00000003687	ENSMUSG00000021253	496	416	394	509	471	513	482	418	601	660	220	520	480	433	612
ENSMUST00000192206	ENSMUST00000192206	ENSMUSG00000103301	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
ENSMUST00000222693	ENSMUST00000222693	ENSMUSG00000114051	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
ENSMUST00000221194	ENSMUST00000221194	ENSMUSG00000007867	3.392	16.21	12.814	13.799	9.723	12.76	18.301	7.216	9.336	10.631	7.46	22.166	14.291	9.863	18.22
ENSMUST00000054565	ENSMUST00000054565	ENSMUSG00000007867	26.483	24.943	19.336	22.69	12.242	15.204	27.184	8.87	13.805	11.846	21.033	44.152	6.667	8.254	20.549
ENSMUST00000222821	ENSMUST00000222821	ENSMUSG00000007867	620.125	663.847	558.849	649.511	507.035	597.036	696.668	529.914	478.859	427.523	375.411	614.033	388.652	513.481	515.231
ENSMUST00000222905	ENSMUST00000222905	ENSMUSG00000007867	0	0	0	0	0	0	2.847	0	0	0	2.096	2.34	2.39	5.402	0
ENSMUST00000223269	ENSMUST00000223269	ENSMUSG00000007867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000221161	ENSMUST00000221161	ENSMUSG00000007867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000220711	ENSMUST00000220711	ENSMUSG00000007867	0	0	0	0	0	0	0	0	0	0	0	1.309	0	0	0
ENSMUST00000181667	ENSMUST00000181667	ENSMUSG00000097543	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0
ENSMUST00000221368	ENSMUST00000221368	ENSMUSG00000021254	536.94	824.325	659.877	569.845	501.513	604.2	655.075	493.952	596.262	594.61	378.253	649.187	470.058	650.844	538.765
ENSMUST00000071106	ENSMUST00000071106	ENSMUSG00000021254	349.074	447.656	304.017	432.751	398.014	413.635	363.531	369.007	389.074	352.284	256.209	336.95	299.288	459.308	381.829
ENSMUST00000220810	ENSMUST00000220810	ENSMUSG00000021254	1	14	9	7	4	9	9	6	8	3	6	9	4	8	6
ENSMUST00000220646	ENSMUST00000220646	ENSMUSG00000021254	54.054	118.214	79.052	71.86	79.078	112.112	114.981	87.651	107.025	65.126	46.561	51.766	69.761	97.601	70.884
ENSMUST00000222299	ENSMUST00000222299	ENSMUSG00000021254	15.932	46.805	14.054	28.544	23.395	53.052	36.412	25.39	39.639	20.98	14.977	21.097	31.893	23.247	24.522
ENSMUST00000181495	ENSMUST00000181495	ENSMUSG00000097488	0	0	0	0	1	1	0	2	0	3	1	1	2	0	0
ENSMUST00000221001	ENSMUST00000221001	ENSMUSG00000113230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000116402	ENSMUST00000116402	ENSMUSG00000021255	0	0	0	2.429	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000110203	ENSMUST00000110203	ENSMUSG00000021255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUST00000110204	ENSMUST00000110204	ENSMUSG00000021255	2	4	1	2.571	4	0	0	0	0	0	4	9	3	0	5
ENSMUST00000021680	ENSMUST00000021680	ENSMUSG00000021255	0	0	0	0	0	1	0	2.478	2	1	0	0	0	0	0
