gene_id	gene_name	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUSG00000083882	Gm11369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083884	Gm15388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083885	Gm13213	3.0573097203401	3.31178470203382	2.74774938624855	3.2339475193466	0	3.15062072229209	16.1001529531918	0	3.44471363800542	0	0	5.6070975197303	2.99503081136499	0	2.93247934658529
ENSMUSG00000083886	Olfr409-ps1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083887	Gm11930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083888	Gm12441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083889	E530001F21Rik	0	0	0	0	0	0	0	0	1.87255495846164	0	0	0	0	0	0
ENSMUSG00000083890	Gm15703	0	0	0	1.39561736745593	1.29526975760654	0	1.39137220508189	0	0	0	0	0	0	0	1.28205570264086
ENSMUSG00000083892	Gm1848	1.5246600553649	4.98452167891649	1.38573959758375	1.60554331919199	1.48901072867682	1.58106729620968	0	2.98198632290317	3.42753761358669	0	1.47812077329075	4.69359412171868	3.01719200814936	6.10239478736662	6.02121875334726
ENSMUSG00000083893	Gm13347	0	0	0	0	0	0	0	0.779329305621418	0	0.87418310033417	0	0	0	0	0
ENSMUSG00000083894	Gm11489	0	0	0	0	0	2.91699167946988	0	0	0	0	0	0	0	0	0
ENSMUSG00000083895	Gm12074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083896	Scgb2b23-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083897	Gm14843	0	0	0	0	12.3138187064748	13.8890001516427	0	12.9876390933194	15.2849206931589	0	0	0	13.1833395656716	27.2408895507117	0
ENSMUSG00000083898	Gm7340	0	0.397226904507161	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083899	Gm12346	41.4646114935374	71.8112652022438	53.0577878093325	66.9864804129244	52.2401445586145	70.7134585942553	90.1719005352673	48.9627773954967	67.0112046015153	42.8587337842616	45.2779500640489	49.668326530342	27.8618497912958	50.8064440090054	45.5333177022802
ENSMUSG00000083900	Gm13294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083901	Gm12885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083902	Tent2-ps1	0.823857155261744	6.60646226455202	0.774993217390132	1.7783794623318	1.68089288214888	1.7830331961819	3.64607792549494	0.808727029126231	2.88912114442953	4.78638108218777	1.67631605389844	0.703307474755701	0.826181206842752	0.808375294444525	2.50956937870624
ENSMUSG00000083903	Gm5405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083904	Gm12805	0	0	0	1.12980050329747	0	0	0	0	0	0	0	0	1.05116960853753	0	0
ENSMUSG00000083905	Gm15355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083906	Gm15186	2.37762221706416	15.4500658531772	10.726449104621	10.0407748259666	6.80692482299976	19.6043354447846	15.0061191394603	18.5153524186418	29.3551984743046	2.61186980981724	0	3.9803831851942	13.9739074345139	11.8453948900275	13.7281845625709
ENSMUSG00000083907	Plk-ps1	0	0.633401684827643	0	0.61468179071044	0.581744686571742	0.603098094508993	0.613810878395832	0.571916056903351	0	0	0	0.492383950226978	0	0	0.568120998731038
ENSMUSG00000083908	Gm6447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083909	Gm15842	27.1719845945178	31.6871038763478	20.7794252442741	28.6621054140686	40.1439379544713	28.0038614268779	17.5770245594038	20.354230709598	44.4804457552746	20.6503313835754	32.5216769326055	12.2529671232742	18.422305439104	45.7725221782981	36.2516978047539
ENSMUSG00000083910	Gm13604	0	0	5.36114269318281	3.15247606943326	2.82393526171198	0	0	2.89813764354708	0	3.27867054069747	2.90859970190634	0	0	0	0
ENSMUSG00000083911	Gm4342	4.65901243980429	5.05036885275538	0	19.7816779582029	0	4.78239636433627	0	9.03958275317189	5.2590442173946	0	0	0	0	0	0
ENSMUSG00000083912	Gm5391	0	2.28855024716996	0	0	0	0	0	0	0	0	2.05539414150234	0	0	0	0
