gene_id	gene_name	KI_1	KI_2	KI_3	KI_4	KI_5	KO_1	KO_2	KO_3	KO_4	KO_5	WT_1	WT_2	WT_3	WT_4	WT_5
ENSMUSG00000106496	Gm7733	0	0	0	0	0	0.032867	0	0	0	0.041283	0	0	0.045929	0.029688	0
ENSMUSG00000106497	Gm43195	0.282602	0.368494	0.212669	0.233408	0.375009	0.377885	0.447376	0.543449	0.37639	0.287122	0.27621	0.182126	0.255884	0.216585	0.368409
ENSMUSG00000106498	Gm43032	0.009003	0.023823	0.017327	0.017097	0.00984	0.041952	0.017248	0.008658	0.042392	0.052581	0	0	0	0.030215	0
ENSMUSG00000106499	Gm9403	0.409403	0.372779	0.507869	0.589631	0.575389	0.62773	0.506207	0.622187	0.762629	0.586407	0.436655	0.489361	0.636036	0.432384	0.518796
ENSMUSG00000106500	Gm42540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106501	Gm42711	0	0	0.01198	0	0.013579	0.011612	0	0.035939	0.01468	0	0	0.009234	0	0	0.038645
ENSMUSG00000106502	Gm42795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106503	Gm42827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106504	Gm43529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106505	Gm32693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106506	4930558F17Rik	0	0	0	0	0	0	0	0	0	0	0	0.015827	0	0	0
ENSMUSG00000106507	Gm43056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106508	4933425M03Rik	0.347392	0.272412	0.185307	0.165105	0.146421	0.161888	0.296063	0.129854	0.205043	0.067691	0.1533	0.142972	0.125631	0.09729	0.298985
ENSMUSG00000106509	Gm43394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106510	Gm18429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106511	Gm43521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106512	Gm43078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106514	Mir6976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106515	Gm30382	0.015724	0.014353	0	0	0	0	0.030141	0	0	0.019018	0	0	0	0	0
ENSMUSG00000106516	Gm42441	0	0.040222	0	0	0.048361	0.042482	0	0	0.270925	0.106811	0	0.101113	0.178142	0.15369	0
ENSMUSG00000106517	Gm42634	0	0	0	0	0	0.113323	0	0	0	0	0	0	0	0	0
ENSMUSG00000106518	Gm42759	0.023419	0.010328	0	0	0.038308	0.010913	0	0.011259	0	0.01368	0.015482	0	0	0	0.012108
ENSMUSG00000106519	Gm38509	0	0.023828	0.077665	0.025692	0.029088	0	0	0	0	0.126382	0.035798	0	0	0	0
ENSMUSG00000106520	Gm8706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106522	Gm42871	0.171366	0	0.160055	0	0	0	0	0	0.616884	0	0	0	0	0	0
ENSMUSG00000106524	Gm42706	0.015256	0	0.01466	0	0.016589	0	0	0	0	0.017829	0.020183	0	0	0	0
ENSMUSG00000106525	Gm42695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106526	Gm42604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106527	Gm43671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106528	Gm42841	0.210921	0.318955	0.188221	0.128827	0.19662	0.463357	0.505372	0.347617	0.408573	0.31693	0.279037	0.156293	0.333395	0.290967	0.17127
ENSMUSG00000106529	Gm18451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106530	Gm42430	0	0	0	0	0	0	0.056631	0	0.14047	0	0	0	0	0	0
ENSMUSG00000106531	Gm43233	0	0.05196	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106532	Gm5714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106533	Trav3d-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000106534	Gm6366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041408
