ID,Description,k,M,percent,GeneRatio,n,BgRatio,N,pvalue,p.adjust,qvalue,geneID
GO:0000228,nuclear chromosome,15,147,10.204081632653061,0.13274336283185842,113,0.0185793731041456,7912,2.013715632351491e-9,4.2288028279381313e-7,3.794264191483336e-7,Prim1/Tipin/Pold3/Chek1/H2ax/Exosc9/Hdac2/Orc2/Gins1/Orc6/Ruvbl2/Smc3/Uchl5/Wdhd1/Sfr1
GO:0032993,protein-DNA complex,12,99,12.121212121212121,0.10619469026548672,113,0.012512639029322549,7912,1.3027752475823046e-8,1.3679140099614198e-6,1.2273514174591187e-6,Prim1/Gtf2f2/Fos/Npm1/Pold3/H1f1/H2ax/H2ac10/H2ac20/Gins1/Nfyb/Xrcc5
GO:0000785,chromatin,19,343,5.539358600583091,0.168141592920354,113,0.04335187057633974,7912,3.125121138243965e-7,2.1875847967707756e-5,1.9627953815637536e-5,Tipin/H1f1/Chek1/H2ax/Wdr43/H2ac10/Hdac2/Orc2/Nap1l4/Chaf1b/H2ac20/Ruvbl2/Nasp/Hells/Egr1/Smc3/Hat1/Uchl5/Sfr1
GO:0005657,replication fork,8,52,15.384615384615385,0.07079646017699115,113,0.006572295247724975,7912,6.019205792287055e-7,3.1600830409507036e-5,2.83536272847206e-5,Prim1/Tipin/Pold3/Chek1/H2ax/Hdac2/Rfc3/Wdhd1
GO:0042555,MCM complex,3,10,30,0.02654867256637168,113,0.0012639029322548028,7912,3.164366848733672e-4,0.013290340764681422,0.011924666651017417,Mcm3/Mcm6/Mcm4
GO:0043596,nuclear replication fork,4,28,14.285714285714285,0.035398230088495575,113,0.003538928210313448,7912,6.199296709590473e-4,0.021697538483566654,0.019467966859942017,Prim1/Tipin/Pold3/Wdhd1
GO:0034719,SMN-Sm protein complex,3,16,18.75,0.02654867256637168,113,0.0020222446916076846,7912,0.0013871678909163833,0.0416150367274915,0.037338804883313176,Strap/Ddx20/Gemin6
GO:0000786,nucleosome,4,36,11.11111111111111,0.035398230088495575,113,0.00455005055611729,7912,0.0016336125996347707,0.04288233074041273,0.038475875701924206,H1f1/H2ax/H2ac10/H2ac20
