ID,Description,n,setSize,percent,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,core_enrichment
GO:0015085,calcium ion transmembrane transporter activity,31,103,30.097087378640776,-0.5393139224329914,-2.1493616333841503,9.975297902304743e-6,7.90898619397019e-4,6.442692404571258e-4,2355,Cacna2d3/Cacna2d2/Cacnb4/Atp2b2/Atp2c2/Psen1/Grin3a/Slc24a3/Itpr1/Cacnb3/Stim1/Cacnb1/Atp2b4/Cacna1h/Tpcn1/Slc8a1/Itpr2/Trpc3/Trpm4/Pkd1/Orai3/Ryr3/Slc8b1/Cacna1c/Cachd1/Mcoln1/Grm7/Cacnb2/Cacna1d/Ryr2/Cacna1e
GO:0022836,gated channel activity,92,228,40.35087719298245,-0.4145393720364702,-1.8737897175683347,1.19338399276551e-5,8.600241395570891e-4,7.005791710569365e-4,4466,Vdac3/Scn11a/Grik1/Scnn1a/Kcnj8/Tmc3/Asic2/P2rx4/Cacna2d1/Kcnip2/Trpm5/Snap25/Kcnk2/Gria2/Scn3a/Glrb/Gabrd/Kcna6/Pkd2/Grik4/Kcna5/Kcnt2/Cftr/Ano7/Cacna1b/Clcn6/Kcnc2/Grid1/Kcnn2/Gabrg3/Rasa3/Hcn3/Scn9a/Kcnk3/Tmc6/Kcnj10/Clcn2/Grik2/Kcnd1/Kcnd3/Cacna2d3/Kcng3/Kcnmb1/Cacna2d2/Tmem63c/Cacnb4/Kcnh2/Scn3b/Clcn7/Kcnb1/Grin3a/Kcnab2/P2rx2/Kcnn3/Chrnb4/Kcne4/Kcna2/Itpr1/Kcnma1/Tmem38a/Kcnc1/Kcna1/Tmem63a/Grik5/Kcns3/Cacnb3/Kcnk5/Ano10/Cacnb1/Cacna1h/Kcna4/Tpcn1/Kcnt1/Grik3/Hcn2/Itpr2/Trpc3/Kcnq4/Gria3/Trpm4/Ryr3/Kcnq3/Cacna1c/Cachd1/Mcoln1/Grm7/Cacnb2/Kcnq2/Cacna1d/Grid2/Ryr2/Cacna1e
GO:0001530,lipopolysaccharide binding,4,25,16,0.8623287397890648,2.519223933787263,1.239674435397606e-5,8.600241395570891e-4,7.005791710569365e-4,575,Ltf/Selp/Hmgb1/H2bc18
GO:0005216,ion channel activity,115,307,37.45928338762215,-0.38579718187595685,-1.8083071289585733,1.4252351741019766e-5,9.305947313254083e-4,7.580662628814848e-4,4475,Trpm3/Vdac3/Scn11a/Trpm6/Grik1/Scnn1a/Kcnj8/Tmc3/Asic2/P2rx4/Slc26a6/Cacna2d1/Kcnip2/Trpm5/Unc80/Snap25/Kcnk2/Gria2/Scn3a/Glrb/Gabrd/Kcna6/Pkd2/Grik4/Kcna5/Kcnt2/Cftr/Trpc4/Ano7/Cacna1b/Clcn6/Kcnc2/Grid1/Kcnn2/Gabrg3/Rasa3/Atp5d/Hcn3/Scn9a/Kcnk3/Tmc6/Kcnj10/Clcn2/Grik2/Trpc1/Kcnd1/Kcnd3/Abcc9/Cacna2d3/Kcng3/Kcnmb1/Cacna2d2/Tmem63c/Cacnb4/Kcnh2/Scn3b/Calhm2/Scn7a/Clcn7/Psen1/Tmem175/Kcnb1/Grin3a/Kcnab2/Tmem120a/P2rx2/Kcnn3/Lrrc8e/Slc24a3/Chrnb4/Kcne4/Kcna2/Itpr1/Kcnma1/Best1/Tmem38a/Kcnc1/Kcna1/Tmem63a/Grik5/Kcns3/Cacnb3/Gjc1/Kcnk5/Stim1/Ano10/Cacnb1/Cacna1h/Kcna4/Abcc8/Tpcn1/Apol7c/Kcnt1/Grik3/Tmem38b/Hcn2/Itpr2/Trpc3/Kcnq4/Gria3/Trpm4/Pkd1/Orai3/Ryr3/Kcnq3/Cacna1c/Cachd1/Mcoln1/Grm7/Cacnb2/Kcnq2/Cacna1d/Grid2/Ryr2/Cacna1e
GO:0030545,signaling receptor regulator activity,42,317,13.249211356466878,0.4986990641956036,2.144553545174151,2.66921136123735e-5,0.0016460136727630326,0.0013408494498847274,1861,Ppbp/Cxcl3/Il1a/Tnfsf10/Tnf/Cxcl1/Angpt2/Nppc/Adm/Hbegf/Dut/Ncapg2/Ly6g2/Inhba/Cxcl5/Clcf1/Il1b/Hmgb1/Ly6c1/Hmgb2/Insl6/Il33/Cxcl2/Osm/Ccl7/Fst/Ly6a/Pthlh/Erfe/Sema3c/Aimp1/Zfp106/Saa3/Hdgf/Ly6m/Nrg1/Iapp/Stc1/Timp1/Nampt/Wnt11/Ccl2
GO:0008236,serine-type peptidase activity,7,108,6.481481481481481,0.633413192957896,2.3760698925114854,4.0028717355244295e-5,0.0023385198033853247,0.0019049677677648114,202,Ltf/Hp/Gzmb/Cfb/Cma1/Prss12/Mmp13
GO:0015276,ligand-gated ion channel activity,36,82,43.90243902439025,-0.53714480993032,-2.071293486587893,4.869496633667699e-5,0.002702570631685573,0.0022015250570108177,4442,Grik1/Scnn1a/Kcnj8/Asic2/P2rx4/Trpm5/Gria2/Glrb/Gabrd/Pkd2/Grik4/Cftr/Grid1/Kcnn2/Gabrg3/Rasa3/Kcnj10/Grik2/Kcnh2/Grin3a/P2rx2/Kcnn3/Chrnb4/Itpr1/Kcnma1/Grik5/Tpcn1/Grik3/Hcn2/Itpr2/Gria3/Trpm4/Ryr3/Mcoln1/Grid2/Ryr2
GO:0005244,voltage-gated ion channel activity,56,142,39.436619718309856,-0.45573430294371453,-1.905365267947408,6.285532022069296e-5,0.003322352640236628,0.0027064020085000124,4156,Cacna2d1/Kcnip2/Trpm5/Snap25/Kcnk2/Scn3a/Kcna6/Pkd2/Kcna5/Kcnt2/Cacna1b/Clcn6/Kcnc2/Kcnn2/Hcn3/Scn9a/Kcnk3/Kcnj10/Clcn2/Kcnd1/Kcnd3/Cacna2d3/Kcng3/Cacna2d2/Cacnb4/Kcnh2/Scn3b/Clcn7/Kcnb1/Grin3a/Kcnab2/Kcnn3/Kcne4/Kcna2/Kcnma1/Kcnc1/Kcna1/Kcns3/Cacnb3/Kcnk5/Cacnb1/Cacna1h/Kcna4/Tpcn1/Kcnt1/Hcn2/Kcnq4/Trpm4/Kcnq3/Cacna1c/Cachd1/Grm7/Cacnb2/Kcnq2/Cacna1d/Cacna1e
GO:0022832,voltage-gated channel activity,56,143,39.16083916083916,-0.4543263019864539,-1.8988132304768663,6.61633405353254e-5,0.003338241272464145,0.002719344953102609,4156,Cacna2d1/Kcnip2/Trpm5/Snap25/Kcnk2/Scn3a/Kcna6/Pkd2/Kcna5/Kcnt2/Cacna1b/Clcn6/Kcnc2/Kcnn2/Hcn3/Scn9a/Kcnk3/Kcnj10/Clcn2/Kcnd1/Kcnd3/Cacna2d3/Kcng3/Cacna2d2/Cacnb4/Kcnh2/Scn3b/Clcn7/Kcnb1/Grin3a/Kcnab2/Kcnn3/Kcne4/Kcna2/Kcnma1/Kcnc1/Kcna1/Kcns3/Cacnb3/Kcnk5/Cacnb1/Cacna1h/Kcna4/Tpcn1/Kcnt1/Hcn2/Kcnq4/Trpm4/Kcnq3/Cacna1c/Cachd1/Grm7/Cacnb2/Kcnq2/Cacna1d/Cacna1e
GO:0015079,potassium ion transmembrane transporter activity,55,114,48.24561403508772,-0.4826196381222265,-1.949414403802136,7.681222874446831e-5,0.003707024952450427,0.0030197576426315,4064,Kcnip2/Trpm5/Snap25/Kcnk2/Gria2/Kcna6/Pkd2/Grik4/Kcna5/Kcnt2/Slc9a2/Kcnc2/Kcnn2/Hcn3/Kcnk3/Atp1b2/Kcnj10/Atp4a/Slc9a3/Grik2/Kcnd1/Kcnd3/Atp1a2/Abcc9/Kcng3/Kcnmb1/Kcnh2/Slc9a1/Tmem175/Kcnb1/Kcnab2/Kcnn3/Atp1a3/Slc24a3/Kcne4/Kcna2/Slc12a9/Kcnma1/Tmem38a/Kcnc1/Kcna1/Grik5/Slc9a5/Kcns3/Kcnk5/Slc9a9/Kcna4/Abcc8/Kcnt1/Grik3/Tmem38b/Hcn2/Kcnq4/Kcnq3/Kcnq2
