ID,Description,n,setSize,percent,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,core_enrichment
GO:0045263,"proton-transporting ATP synthase complex, coupling factor F(o)",9,11,81.81818181818183,0.8139375680854796,1.9700271071979463,3.873280367806286e-4,0.005927802997686142,0.004086000571072536,2831,Atp5g1/Atp5g3/Atp5l/Atp5pb/Atp5o/Atp5k/Atp5j2/Atp5j/Atp5h
GO:1905354,exoribonuclease complex,17,24,70.83333333333334,0.68715681095655,1.9873078346299946,4.097765794408779e-4,0.006137930040986768,0.004230839935548594,3569,Mphosph6/Exosc9/Dis3/Supv3l1/Wdr74/C1d/Exosc2/Exosc1/Exosc3/Exosc4/Exosc7/Pnpt1/Las1l/Exosc5/Zfp36/Dis3l2/Mtrex
GO:0000776,kinetochore,75,131,57.25190839694656,0.5976753841883692,2.3778320980061363,4.2664609399573256e-4,0.006257476045270744,0.004313242309912997,3305,Cenpi/Mtbp/Kif18a/Cenpm/Cdt1/Kntc1/Spc24/Nup107/Pmf1/Ercc6l/Nup133/Aurkb/Nudcd2/Cenph/Ndc80/Ska3/Nup43/Knstrn/Knl1/Nup37/Ncapd3/Nek2/Dsn1/Nuf2/Birc5/Bub1/Csnk1a1/Zwilch/Plk1/Bub3/Ttk/Pinx1/Sgo2a/Cenps/Sgo1/Nup98/Cbx5/Spdl1/Seh1l/Xpo1/Ccnb1/Cenpe/Nup160/Nup85/Incenp/Ska1/Ahctf1/Cenpu/Fbxw11/Spc25/Spag5/Orc2/Hnrnpu/Sec13/Ckap5/Champ1/Cenpf/Sin3a/Dynlt3/Itgb3bp/Cfdp1/Cenpq/Cenpn/Nsl1/Pbrm1/Cenpw/Kif2c/Cenpc1/Cenpo/Septin2/Cenpa/Mad2l1/Ppp1cc/Ska2/Smc1a
GO:0005732,sno(s)RNA-containing ribonucleoprotein complex,19,23,82.6086956521739,0.8324526237510981,2.381344182972144,4.8481913391633505e-4,0.00696556469953265,0.00480132375371494,2713,Nop56/Pop4/Dkc1/Rpp25/Nop58/Snu13/Nhp2/Nolc1/Naf1/Mphosph10/Pop7/Rpp40/Lsm6/Nop10/Gar1/Rrp9/Fbl/Pop1/Rpp30
GO:0005657,replication fork,35,67,52.23880597014925,0.6992973300230798,2.526348644179864,5.903614136597601e-4,0.008312288704329422,0.0057296128778347236,2115,Prim1/Rad18/H2ax/Wdhd1/Tipin/Uhrf1/Rfc4/Pcna/Hdac2/Dnmt1/Chek1/Pold3/Rfc3/Blm/Xrcc2/Timeless/Pola1/Rpa3/Smarca5/Pold2/Prpf19/Prim2/Rpa2/Xrcc3/Rfc2/Rfc1/Donson/Mcm10/Plrg1/Nbn/Mms22l/Rfc5/Pola2/Bcas2/Mre11a
GO:0042555,MCM complex,10,11,90.9090909090909,0.792032308382803,1.9170083535532545,7.616495695656363e-4,0.010513750921062902,0.00724706814385466,2974,Mcm6/Mcm5/Mcm7/Mcm3/Mcm2/Mcm4/Mcmbp/Mms22l/Mcm8/Tonsl
GO:0045111,intermediate filament cytoskeleton,17,113,15.04424778761062,0.5848162469618413,2.2771414718485334,7.76684343413477e-4,0.010515111110828613,0.007248005714850462,1406,Krt6a/Krt4/Krt16/Krt19/Eif1ad/Krt7/Pkp2/Nol9/Stn1/Eif6/Mns1/Nme1/Csnk1a1/Fam83h/Dyrk1a/Cct8/Krt8
GO:1990204,oxidoreductase complex,56,97,57.73195876288659,0.5968730807194537,2.2918065556005014,8.448720424439535e-4,0.011222451280764968,0.0077355712327043195,3690,Gpd1/Ndufa4/Ndufa12/Rrm2/Rrm1/Cyc1/Uqcrq/Ndufa10/Dld/Uqcrfs1/Dlat/Ndufs8/Ndufab1/Uqcrc1/Gcsh/Gpd2/Bckdk/Sdhc/Ndufs1/Ndufa9/Noxo1/Uqcrb/Ndufb8/Dlst/Ndufa5/Ndufs3/Pdk1/Ndufv2/Cbr4/Uqcr10/Ndufv1/Kat2a/Ndufc1/Ndufb2/Noxa1/Ndufb7/Gmpr/Uqcrc2/Pdhb/Pdhx/Ndufb4/Pdha1/Ndufc2/Ndufa7/Sdhd/Ndufb3/Ndufb6/Ndufa8/Foxred1/Ndufb5/Ndufs4/Ogdh/Ndufa3/Ndufa2/Ndufb11/Ndufs2
GO:0005744,TIM23 mitochondrial import inner membrane translocase complex,5,11,45.45454545454545,0.7873991042628051,1.905794302172082,9.218841157527262e-4,0.011909987414238571,0.008209485941931789,374,Timm23/Dnajc15/Dnajc19/Timm17a/Grpel1
GO:0022625,cytosolic large ribosomal subunit,45,54,83.33333333333334,0.717534877389333,2.5169019844476193,0.00093046776673738835,0.011909987414238571,0.008209485941931789,4166,Rpl13a/Rpl35/Rpl27a/Rpl36al/Rpl12/Rpl5/Rpl7l1/Rpl14/Rpl22/Rpl11/Rpl38/Mrpl1/Rpl23/Rpl19/Rpl32/Rpl15/Rpl21/Rpl36a/Rpl41/Rpl37/Rpl24/Rpl6/Rpl17/Rpl31/Rpl8/Rpl7a/Rpl4/Rpl29/Uba52/Rpl3/Rps12/Rpl30/Rpl27/Rpl26/Zcchc17/Rpl18/Rpl28/Rplp1/Rpl10a/Rpl13/Rpl35a/Rpl7/Rpl39/Rpl36/Rpl23a
